Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
Time (UTC), Speed (km/h), Distance (m), RPM, Lambda, Starter, Gear, Fuel correction, Fuel consumption (km/l), Fuel consumed (g), Battery voltage (V), Oil temperature (C), Water temperature (C), Exhaust temperature (C), Brake front (bar), Brake rear (bar), State, Injection duration (us), Injection angle
2018-06-27 11:59:16, 30.82, 1516.30, 0.00, 1.47, 0.00, 2.00, 1.28, 156.14, 11.82, 12.14, 64.55, 53.30, 238.39, 0.00, -0.23, 16.00, 9786.00, -46.00
2018-06-27 11:59:17, 29.08, 1524.61, 0.00, 1.47, 0.00, 2.00, 1.28, 157.00, 11.82, 12.15, 64.70, 53.10, 233.91, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:18, 28.06, 1532.57, 0.00, 1.47, 0.00, 2.00, 1.28, 157.81, 11.82, 12.15, 64.92, 52.63, 229.85, 0.00, -0.23, 16.00, 9786.00, -46.00
2018-06-27 11:59:19, 26.08, 1540.06, 0.00, 1.47, 0.00, 2.00, 1.28, 158.59, 11.82, 12.16, 65.09, 52.27, 227.11, 0.00, -0.23, 16.00, 9786.00, -46.00
2018-06-27 11:59:20, 24.11, 1546.85, 0.00, 1.47, 0.00, 2.00, 1.28, 159.28, 11.82, 12.16, 65.16, 51.85, 223.57, 0.00, -0.23, 16.00, 9786.00, -46.00
2018-06-27 11:59:21, 22.52, 1553.29, 0.00, 1.47, 0.00, 2.00, 1.28, 159.95, 11.82, 12.15, 65.29, 51.39, 220.29, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:22, 20.77, 1559.84, 0.00, 1.47, 0.00, 2.00, 1.28, 160.62, 11.82, 12.15, 65.38, 50.83, 217.38, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:23, 17.51, 1565.57, 0.00, 1.47, 0.00, 2.00, 1.28, 161.21, 11.82, 12.17, 65.47, 50.42, 214.57, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:24, 14.31, 1570.14, 0.00, 1.47, 0.00, 2.00, 1.28, 161.68, 11.82, 12.16, 65.63, 49.95, 211.88, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:25, 11.73, 1573.88, 0.00, 1.47, 0.00, 1.00, 1.28, 162.07, 11.82, 12.08, 65.66, 49.51, 209.47, 0.00, -0.27, 16.00, 9786.00, -46.00
2018-06-27 11:59:26, 9.56, 1577.04, 0.00, 1.47, 0.00, 1.00, 1.28, 162.39, 11.82, 12.16, 65.63, 49.08, 207.14, 0.00, -0.21, 16.00, 9786.00, -46.00
2018-06-27 11:59:28, 7.55, 1579.50, 0.00, 1.47, 0.00, 1.00, 1.28, 162.65, 11.82, 12.14, 65.70, 48.66, 205.00, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:29, 5.28, 1581.37, 0.00, 1.47, 0.00, 1.00, 1.28, 162.84, 11.82, 12.16, 65.75, 48.37, 202.93, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:30, 2.68, 1582.43, 0.00, 1.47, 0.00, 1.00, 1.28, 162.95, 11.82, 12.15, 65.84, 48.00, 201.05, 0.00, -0.30, 16.00, 9786.00, -46.00
2018-06-27 11:59:31, -0.00, 1582.66, 0.00, 1.47, 0.00, 1.00, 1.28, 162.97, 11.82, 12.15, 65.88, 47.66, 199.30, 0.00, -0.21, 16.00, 9786.00, -46.00
2018-06-27 11:59:32, 0.00, 1582.78, 0.00, 1.47, 0.00, 1.00, 1.28, 162.98, 11.82, 12.16, 65.84, 47.37, 197.59, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:33, -0.00, 1582.78, 0.00, 1.47, 0.00, 1.00, 1.28, 162.98, 11.82, 12.15, 65.89, 47.13, 196.01, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:34, -0.00, 1582.78, 0.00, 1.47, 0.00, 1.00, 1.28, 162.98, 11.82, 12.16, 65.91, 46.91, 194.54, 0.00, -0.21, 16.00, 9786.00, -46.00
2018-06-27 11:59:35, 0.00, 1582.78, 0.00, 1.47, 0.00, 1.00, 1.28, 162.98, 11.82, 12.17, 65.88, 46.65, 193.04, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:36, -0.00, 1582.78, 0.00, 1.47, 0.00, 1.00, 1.28, 162.98, 11.82, 12.16, 65.81, 46.40, 191.59, 0.00, -0.26, 16.00, 9786.00, -46.00
2018-06-27 11:59:37, -0.00, 1582.78, 0.00, 1.47, 0.00, 1.00, 1.28, 162.98, 11.82, 12.17, 65.80, 46.20, 190.61, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:38, 0.00, 1582.78, 0.00, 1.47, 0.00, 1.00, 1.28, 162.98, 11.82, 12.16, 65.75, 45.99, 189.30, 0.00, -0.30, 16.00, 9786.00, -46.00
2018-06-27 11:59:39, 0.00, 1582.78, 0.00, 1.47, 0.00, 1.00, 1.28, 162.98, 11.82, 12.12, 65.75, 45.86, 188.02, 0.00, -0.22, 16.00, 9786.00, -46.00
2018-06-27 11:59:40, 0.00, 1582.78, 785.99, 1.47, 1.00, 1.00, 1.28, 162.87, 11.83, 10.83, 65.77, 45.78, 187.21, 0.00, -0.33, 22.00, 8932.00, -34.00
2018-06-27 11:59:41, 1.53, 1583.01, 1912.90, 1.13, 0.00, 1.00, 1.28, 161.74, 11.92, 12.01, 65.75, 45.62, 207.00, 0.00, -0.21, 20.00, 5531.26, -59.00
2018-06-27 11:59:42, 4.18, 1584.07, 1862.31, 1.06, 0.00, 1.00, 1.28, 160.74, 12.00, 12.04, 65.63, 45.40, 227.59, 0.00, -0.22, 20.00, 5557.07, -58.00
2018-06-27 11:59:43, 6.21, 1585.59, 1856.61, 1.03, 0.00, 1.00, 1.28, 159.86, 12.08, 12.06, 65.70, 45.10, 245.63, 0.00, -0.22, 20.00, 5559.99, -58.00
2018-06-27 11:59:44, 8.60, 1587.81, 2051.39, 0.97, 0.00, 1.00, 1.28, 159.01, 12.16, 12.07, 65.67, 44.67, 259.41, 0.00, -0.20, 20.00, 5473.69, -61.00
2018-06-27 11:59:45, 11.00, 1590.62, 2456.45, 1.12, 0.00, 1.00, 1.28, 158.04, 12.25, 12.04, 65.72, 44.50, 270.55, 0.00, -0.24, 20.00, 5396.66, -73.00
2018-06-27 11:59:46, 14.05, 1594.36, 3063.33, 1.20, 0.00, 1.00, 1.28, 156.87, 12.37, 12.06, 65.72, 44.46, 290.34, 0.00, -0.21, 20.00, 5391.10, -85.00
2018-06-27 11:59:47, 17.44, 1599.05, 3716.09, 1.13, 0.00, 1.00, 1.28, 155.51, 12.52, 12.07, 65.80, 44.91, 315.26, 0.00, -0.24, 20.00, 5391.10, -101.00
2018-06-27 11:59:49, 17.44, 1604.43, 2054.97, 1.47, 0.00, 2.00, 1.28, 154.47, 12.64, 12.10, 65.80, 45.09, 295.93, 0.00, -0.24, 20.00, 5472.77, -61.00
2018-06-27 11:59:50, 18.57, 1610.05, 2114.84, 1.28, 0.00, 2.00, 1.28, 153.84, 12.74, 12.04, 65.80, 45.05, 291.01, 0.00, -0.21, 20.00, 5457.49, -63.00
2018-06-27 11:59:51, 19.82, 1616.02, 2194.39, 1.09, 0.00, 2.00, 1.28, 153.19, 12.84, 12.07, 65.86, 45.62, 299.09, 0.00, -0.21, 20.00, 5437.19, -64.00
2018-06-27 11:59:52, 20.90, 1622.22, 2317.68, 1.04, 0.00, 2.00, 1.28, 152.53, 12.95, 12.05, 65.95, 46.34, 306.93, 0.00, -0.16, 20.00, 5414.36, -67.00
2018-06-27 11:59:53, 22.23, 1629.01, 2452.53, 1.00, 0.00, 2.00, 1.28, 151.87, 13.06, 12.04, 66.10, 48.23, 314.62, 0.00, -0.17, 20.00, 5397.16, -73.00
2018-06-27 11:59:54, 23.48, 1636.03, 2570.75, 0.98, 0.00, 2.00, 1.28, 151.19, 13.17, 12.02, 66.35, 49.95, 321.02, 0.00, -0.28, 20.00, 5391.10, -76.00
2018-06-27 11:59:55, 24.92, 1643.64, 2708.56, 0.95, 0.00, 2.00, 1.28, 150.51, 13.29, 12.03, 66.47, 50.89, 328.69, 0.00, -0.21, 20.00, 5391.10, -78.00
2018-06-27 11:59:56, 26.31, 1651.59, 2870.13, 1.05, 0.00, 2.00, 1.28, 149.77, 13.43, 12.00, 66.64, 51.71, 335.66, 0.00, -0.28, 20.00, 5391.10, -81.00
2018-06-27 11:59:57, 27.80, 1660.02, 2984.04, 1.05, 0.00, 2.00, 1.28, 149.03, 13.56, 12.01, 66.80, 52.81, 343.48, 0.00, -0.21, 20.00, 5391.10, -83.00
2018-06-27 11:59:58, 29.53, 1668.92, 3197.78, 1.03, 0.00, 2.00, 1.28, 148.24, 13.71, 12.03, 66.94, 54.00, 351.92, 0.00, -0.22, 20.00, 5391.10, -87.00
2018-06-27 12:00:00, 31.09, 1678.28, 3311.17, 1.05, 0.00, 2.00, 1.28, 147.46, 13.86, 12.03, 67.24, 54.74, 361.58, 0.00, -0.25, 20.00, 5391.10, -90.00
2018-06-27 12:00:01, 32.75, 1688.23, 3490.20, 1.04, 0.00, 2.00, 1.28, 146.68, 14.01, 12.08, 67.37, 55.11, 369.34, 0.00, -0.27, 20.00, 5391.10, -96.00
2018-06-27 12:00:02, 34.33, 1698.53, 3666.25, 0.98, 0.00, 2.00, 1.28, 145.86, 14.18, 12.04, 67.68, 55.41, 376.15, 0.00, -0.24, 20.00, 5391.10, -100.00
2018-06-27 12:00:03, 35.89, 1709.41, 3812.55, 1.06, 0.00, 2.00, 1.28, 144.99, 14.35, 12.04, 67.85, 55.36, 383.66, 0.00, -0.26, 20.00, 5446.97, -103.00
2018-06-27 12:00:04, 35.72, 1720.53, 2331.55, 1.47, 0.00, 2.00, 1.28, 144.41, 14.51, 12.11, 68.18, 55.54, 367.88, 0.00, -0.21, 16.00, 5412.59, -67.00
2018-06-27 12:00:05, 35.18, 1731.41, 933.71, 1.47, 0.00, 2.00, 1.28, 144.67, 14.57, 12.13, 68.40, 55.29, 318.52, 0.00, -0.23, 16.00, 8932.00, -36.00
2018-06-27 12:00:06, 34.82, 1742.06, 0.00, 1.47, 0.00, 2.00, 1.28, 145.48, 14.58, 12.14, 68.72, 55.63, 303.32, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:07, 34.37, 1752.60, 0.00, 1.47, 0.00, 2.00, 1.28, 146.36, 14.58, 12.12, 68.98, 56.32, 292.72, 0.00, -0.23, 16.00, 8932.00, -43.00
2018-06-27 12:00:08, 33.81, 1763.01, 0.00, 1.47, 0.00, 2.00, 1.28, 147.23, 14.58, 12.14, 69.19, 56.76, 283.96, 0.00, -0.21, 16.00, 8932.00, -43.00
2018-06-27 12:00:09, 33.46, 1773.31, 0.00, 1.47, 0.00, 2.00, 1.28, 148.09, 14.58, 12.15, 69.59, 56.97, 276.35, 0.00, -0.21, 16.00, 8932.00, -43.00
2018-06-27 12:00:11, 33.01, 1783.38, 0.00, 1.47, 0.00, 2.00, 1.28, 148.93, 14.58, 12.16, 69.84, 57.20, 269.72, 0.00, -0.21, 16.00, 8932.00, -43.00
2018-06-27 12:00:12, 32.61, 1792.50, 0.00, 1.47, 0.00, 2.00, 1.28, 149.70, 14.58, 12.16, 69.97, 57.13, 265.30, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:13, 32.15, 1801.52, 0.00, 1.47, 0.00, 2.00, 1.28, 150.45, 14.58, 12.15, 70.27, 57.17, 259.84, 0.00, -0.23, 16.00, 8932.00, -43.00
2018-06-27 12:00:14, 31.82, 1810.29, 0.00, 1.47, 0.00, 2.00, 1.28, 151.18, 14.58, 12.14, 70.41, 56.90, 254.89, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:15, 31.36, 1818.95, 0.00, 1.47, 0.00, 2.00, 1.28, 151.91, 14.58, 12.14, 70.52, 56.97, 251.38, 0.00, -0.23, 16.00, 8932.00, -43.00
2018-06-27 12:00:16, 30.80, 1827.62, 0.00, 1.47, 0.00, 2.00, 1.28, 152.63, 14.58, 12.15, 70.74, 56.60, 246.95, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:17, 29.51, 1836.04, 0.00, 1.47, 0.00, 2.00, 1.28, 153.33, 14.58, 12.16, 70.76, 56.35, 243.92, 0.00, -0.21, 16.00, 8932.00, -43.00
2018-06-27 12:00:18, 28.62, 1844.00, 0.00, 1.47, 0.00, 2.00, 1.28, 154.00, 14.58, 12.15, 70.90, 56.02, 240.23, 0.00, -0.21, 16.00, 8932.00, -43.00
2018-06-27 12:00:19, 27.93, 1851.84, 0.00, 1.47, 0.00, 2.00, 1.28, 154.65, 14.58, 12.16, 71.08, 55.45, 236.84, 0.00, -0.21, 16.00, 8932.00, -43.00
2018-06-27 12:00:20, 26.93, 1859.45, 0.00, 1.47, 0.00, 2.00, 1.28, 155.29, 14.58, 12.15, 71.14, 55.02, 234.49, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:21, 25.86, 1866.71, 0.00, 1.47, 0.00, 2.00, 1.28, 155.89, 14.58, 12.16, 71.23, 54.48, 231.63, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:22, 24.84, 1873.73, 0.00, 1.47, 0.00, 2.00, 1.28, 156.48, 14.58, 12.14, 71.26, 53.89, 228.75, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:23, 23.68, 1881.10, 0.00, 1.47, 0.00, 2.00, 1.28, 157.10, 14.58, 12.16, 71.28, 53.34, 226.26, 0.00, -0.21, 16.00, 8932.00, -43.00
2018-06-27 12:00:24, 23.21, 1888.24, 0.00, 1.47, 0.00, 2.00, 1.28, 157.69, 14.58, 12.17, 71.30, 52.77, 223.78, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:25, 20.96, 1894.91, 0.00, 1.47, 0.00, 2.00, 1.28, 158.25, 14.58, 12.16, 71.35, 52.24, 221.45, 0.00, -0.23, 16.00, 8932.00, -43.00
2018-06-27 12:00:26, 19.39, 1900.88, 0.00, 1.47, 0.00, 2.00, 1.28, 158.75, 14.58, 12.15, 71.48, 51.87, 219.33, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:27, 17.32, 1906.38, 0.00, 1.47, 0.00, 2.00, 1.28, 159.21, 14.58, 12.18, 71.46, 51.46, 217.32, 0.00, -0.21, 16.00, 8932.00, -43.00
2018-06-27 12:00:28, 15.38, 1911.30, 0.00, 1.47, 0.00, 2.00, 1.28, 159.62, 14.58, 12.16, 71.45, 51.13, 215.42, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:29, 13.40, 1915.51, 0.00, 1.47, 0.00, 2.00, 1.28, 159.97, 14.58, 12.17, 71.44, 50.72, 213.54, 0.00, -0.21, 16.00, 8932.00, -43.00
2018-06-27 12:00:30, 11.51, 1919.25, 0.00, 1.47, 0.00, 1.00, 1.28, 160.28, 14.58, 12.14, 71.37, 50.43, 211.88, 0.00, -0.24, 16.00, 8932.00, -43.00
2018-06-27 12:00:32, 9.05, 1922.30, 0.00, 1.47, 0.00, 1.00, 1.28, 160.54, 14.58, 12.15, 71.33, 50.17, 210.28, 0.00, -0.25, 16.00, 8932.00, -43.00
2018-06-27 12:00:33, 6.29, 1924.52, 0.00, 1.47, 0.00, 1.00, 1.28, 160.72, 14.58, 12.12, 71.41, 49.91, 208.85, 0.00, -0.23, 16.00, 8932.00, -43.00
2018-06-27 12:00:34, 1.36, 1925.46, 0.00, 1.47, 0.00, 1.00, 1.28, 160.80, 14.58, 12.14, 71.27, 49.54, 207.52, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:35, -0.00, 1925.57, 0.00, 1.47, 0.00, 1.00, 1.28, 160.81, 14.58, 12.12, 71.37, 49.22, 206.16, 0.00, -0.22, 16.00, 8932.00, -43.00
2018-06-27 12:00:36, 1.47, 1925.69, 1991.34, 1.47, 0.00, 1.00, 1.28, 160.33, 14.62, 11.96, 71.32, 48.97, 202.70, 0.00, -0.24, 20.00, 5491.22, -60.00
2018-06-27 12:00:37, 2.77, 1926.28, 1917.45, 1.00, 0.00, 1.00, 1.28, 159.43, 14.71, 11.99, 71.30, 48.63, 233.30, 0.00, -0.19, 20.00, 5528.93, -59.00
2018-06-27 12:00:38, 5.08, 1927.56, 1873.21, 1.19, 0.00, 1.00, 1.28, 158.65, 14.79, 12.01, 71.28, 48.39, 250.81, 0.00, -0.20, 20.00, 5551.51, -58.00
2018-06-27 12:00:39, 7.26, 1929.44, 1894.00, 1.05, 0.00, 1.00, 1.28, 157.93, 14.87, 11.98, 71.30, 47.89, 267.29, 0.00, -0.21, 20.00, 5540.90, -59.00
2018-06-27 12:00:40, 9.88, 1932.01, 2265.13, 1.11, 0.00, 1.00, 1.28, 157.22, 14.96, 12.04, 71.16, 47.75, 277.79, 0.00, -0.20, 20.00, 5421.07, -65.00
2018-06-27 12:00:41, 12.63, 1935.29, 2763.00, 0.98, 0.00, 1.00, 1.28, 156.39, 15.07, 12.05, 71.13, 48.01, 294.97, 0.00, -0.26, 20.00, 5391.10, -79.00
2018-06-27 12:00:42, 15.78, 1939.38, 3423.68, 1.14, 0.00, 1.00, 1.28, 155.38, 15.20, 12.04, 71.15, 48.12, 316.28, 0.00, -0.21, 20.00, 5391.10, -94.00
2018-06-27 12:00:43, 17.63, 1944.30, 2876.04, 1.47, 0.00, 1.00, 1.28, 154.29, 15.34, 12.07, 71.19, 48.19, 334.96, 0.00, -0.23, 20.00, 5391.10, -81.00
2018-06-27 12:00:44, 17.84, 1949.21, 2060.23, 1.47, 0.00, 2.00, 1.28, 153.77, 15.43, 12.07, 71.16, 48.01, 300.67, 0.00, -0.20, 20.00, 5471.43, -62.00
2018-06-27 12:00:45, 18.84, 1954.36, 2148.38, 1.01, 0.00, 2.00, 1.28, 153.27, 15.52, 12.06, 71.14, 47.87, 304.16, 0.00, -0.20, 20.00, 5448.93, -63.00
2018-06-27 12:00:46, 19.94, 1959.75, 2232.48, 1.02, 0.00, 2.00, 1.28, 152.79, 15.61, 11.98, 71.19, 49.40, 311.81, 0.00, -0.21, 20.00, 5427.47, -65.00
2018-06-27 12:00:47, 21.14, 1965.60, 2321.31, 0.96, 0.00, 2.00, 1.28, 152.32, 15.71, 12.02, 71.28, 50.34, 318.98, 0.00, -0.22, 20.00, 5413.90, -67.00
2018-06-27 12:00:48, 22.40, 1972.27, 2453.39, 0.94, 0.00, 2.00, 1.28, 151.77, 15.82, 12.06, 71.46, 51.05, 326.22, 0.00, -0.24, 20.00, 5397.05, -73.00
2018-06-27 12:00:49, 23.68, 1979.41, 2582.14, 0.91, 0.00, 2.00, 1.28, 151.21, 15.94, 12.07, 71.54, 53.15, 332.59, 0.00, -0.19, 20.00, 5391.10, -76.00
2018-06-27 12:00:50, 24.73, 1986.20, 2670.35, 0.92, 0.00, 2.00, 1.28, 150.69, 16.05, 12.02, 71.65, 54.03, 337.51, 0.00, -0.23, 20.00, 5391.10, -78.00
2018-06-27 12:00:51, 26.12, 1993.34, 2802.49, 1.01, 0.00, 2.00, 1.28, 150.15, 16.16, 12.07, 71.77, 54.74, 344.66, 0.00, -0.23, 20.00, 5391.10, -80.00
2018-06-27 12:00:52, 27.55, 2000.83, 3010.31, 0.93, 0.00, 2.00, 1.28, 149.60, 16.28, 12.05, 71.96, 56.02, 350.51, 0.00, -0.23, 20.00, 5391.10, -84.00
2018-06-27 12:00:53, 28.67, 2008.55, 3136.35, 0.92, 0.00, 2.00, 1.28, 148.98, 16.41, 12.02, 72.05, 56.98, 358.44, 0.00, -0.26, 20.00, 5391.10, -86.00
2018-06-27 12:00:54, 30.31, 2016.86, 3262.02, 0.88, 0.00, 2.00, 1.28, 148.42, 16.54, 11.99, 72.28, 57.82, 367.25, 0.00, -0.21, 20.00, 5391.10, -88.00
2018-06-27 12:00:55, 31.64, 2025.52, 3382.95, 1.01, 0.00, 2.00, 1.28, 147.81, 16.68, 12.02, 72.51, 58.14, 373.63, 0.00, -0.19, 20.00, 5391.10, -92.00
2018-06-27 12:00:56, 33.14, 2034.65, 3521.75, 1.03, 0.00, 2.00, 1.28, 147.19, 16.83, 12.05, 72.64, 58.34, 381.23, 0.00, -0.22, 20.00, 5391.10, -98.00
2018-06-27 12:00:57, 34.84, 2044.25, 3703.25, 0.97, 0.00, 2.00, 1.28, 146.57, 16.98, 12.06, 72.80, 58.36, 385.84, 0.00, -0.19, 20.00, 5391.10, -101.00
2018-06-27 12:00:58, 35.48, 2054.08, 3416.56, 1.21, 0.00, 2.00, 1.28, 145.94, 17.14, 12.09, 73.10, 58.22, 392.94, 0.00, -0.23, 20.00, 5391.10, -94.00
2018-06-27 12:00:59, 35.01, 2063.79, 1937.64, 1.47, 0.00, 2.00, 1.28, 145.60, 17.26, 12.11, 73.34, 58.13, 349.22, 0.00, -0.21, 16.00, 5518.63, -59.00
2018-06-27 12:01:00, 34.54, 2074.21, 278.14, 1.47, 0.00, 2.00, 1.28, 145.97, 17.30, 12.14, 73.60, 58.54, 312.23, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:01, 33.98, 2083.80, 0.00, 1.47, 0.00, 2.00, 1.28, 146.65, 17.30, 12.14, 73.84, 59.00, 303.09, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:02, 33.69, 2093.17, 0.00, 1.47, 0.00, 2.00, 1.28, 147.31, 17.30, 12.14, 74.05, 59.90, 294.15, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:03, 33.35, 2102.41, 0.00, 1.47, 0.00, 2.00, 1.28, 147.96, 17.30, 12.14, 74.36, 60.12, 286.62, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:04, 32.89, 2111.54, 0.00, 1.47, 0.00, 2.00, 1.28, 148.60, 17.30, 12.15, 74.59, 60.34, 281.58, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:05, 32.24, 2120.55, 0.00, 1.47, 0.00, 2.00, 1.28, 149.23, 17.30, 12.13, 74.82, 60.37, 275.46, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:06, 32.04, 2129.57, 0.00, 1.47, 0.00, 2.00, 1.28, 149.87, 17.30, 12.15, 75.02, 60.43, 271.28, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:07, 31.60, 2138.34, 0.00, 1.47, 0.00, 2.00, 1.28, 150.49, 17.30, 12.15, 75.24, 60.31, 266.22, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:08, 31.20, 2147.12, 0.00, 1.47, 0.00, 2.00, 1.28, 151.10, 17.30, 12.16, 75.43, 60.12, 261.72, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:09, 30.92, 2155.66, 0.00, 1.47, 0.00, 2.00, 1.28, 151.70, 17.30, 12.13, 75.52, 59.84, 258.77, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:10, 30.56, 2164.21, 0.00, 1.47, 0.00, 2.00, 1.28, 152.31, 17.30, 12.14, 75.84, 59.51, 254.88, 0.00, -0.23, 16.00, 0.00, -25.00
2018-06-27 12:01:11, 30.19, 2172.63, 0.00, 1.47, 0.00, 2.00, 1.28, 152.90, 17.30, 12.14, 75.94, 59.02, 251.42, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:12, 29.26, 2181.65, 0.00, 1.47, 0.00, 2.00, 1.28, 153.53, 17.30, 12.15, 76.01, 58.49, 248.03, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:14, 29.19, 2190.66, 0.00, 1.47, 0.00, 2.00, 1.28, 154.17, 17.30, 12.13, 76.05, 57.80, 244.95, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:15, 28.96, 2198.73, 0.00, 1.47, 0.00, 2.00, 1.28, 154.74, 17.30, 12.15, 76.07, 57.34, 242.74, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:16, 28.47, 2206.69, 0.00, 1.47, 0.00, 2.00, 1.28, 155.30, 17.30, 12.13, 76.21, 56.57, 239.98, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:17, 28.17, 2214.53, 0.00, 1.47, 0.00, 2.00, 1.28, 155.85, 17.30, 12.13, 76.37, 55.94, 237.54, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:18, 26.82, 2222.14, 0.00, 1.47, 0.00, 2.00, 1.28, 156.38, 17.30, 12.14, 76.28, 55.47, 235.74, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:19, 27.35, 2229.75, 0.00, 1.47, 0.00, 2.00, 1.28, 156.92, 17.30, 12.15, 76.40, 54.97, 233.52, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:20, 27.08, 2237.35, 0.00, 1.47, 0.00, 2.00, 1.28, 157.45, 17.30, 12.13, 76.38, 54.59, 231.90, 0.00, -0.22, 16.00, 0.00, -25.00
2018-06-27 12:01:21, 26.57, 2244.85, 0.00, 1.47, 0.00, 2.00, 1.28, 157.98, 17.30, 12.14, 76.38, 54.00, 229.82, 0.00, -0.21, 16.00, 0.00, -25.00
2018-06-27 12:01:22, 26.11, 2252.10, 0.00, 1.47, 0.00, 2.00, 1.28, 158.49, 17.30, 12.14, 76.39, 53.57, 228.02, 0.00, -0.23, 16.00, 0.00, -25.00
